"codTransaccion","codProducto","fechaPago","codReferencia"
274799770005006000,5,"2014-01-15",7444730214
875642980001006000,1,"2014-01-16",6517694204
328393450002006000,2,"2014-01-17",5702366469
643775660003006000,3,"2014-01-18",1981604350
752479740004006000,4,"2014-01-19",8373282336
648738850005006000,5,"2014-01-20",8707572337
838549270001006000,1,"2014-01-21",8491395343
449889380002006000,2,"2014-01-22",2139166956
968969650003006000,3,"2014-01-23",5775649347
753283580004006000,4,"2014-01-24",2104314681
434829390005006000,5,"2014-01-25",7841202494
583272880001006000,1,"2014-01-26",6869527519
827626770002006000,2,"2014-01-27",2691461397
868264480003006000,3,"2014-01-28",7124486015
979772280004006000,4,"2014-01-29",6830660611
724372740005006000,5,"2014-02-01",1713891075
726976450001006000,1,"2014-02-02",9951340368
565834730002006000,2,"2014-02-03",3889793967
473267450003006000,3,"2014-02-04",7444730214
674494240004006000,4,"2014-02-05",6517694204
563585450005006000,5,"2014-02-06",5702366469
239899930001006000,1,"2014-02-07",1981604350
353786870002006000,2,"2014-02-08",8373282336
684773330003006000,3,"2014-02-09",8707572337
474238240004006000,4,"2014-02-10",8491395343
272346940005006000,5,"2014-02-11",2139166956
777853250001006000,1,"2014-02-12",5775649347
675743870002006000,2,"2014-02-13",2104314681
597677750003006000,3,"2014-02-14",7841202494
294938960004006000,4,"2014-02-15",6869527519
234957260005006000,5,"2014-02-16",2691461397
665628870001006000,1,"2014-02-17",7124486015
638524630002006000,2,"2014-02-18",6830660611
566678950003006000,3,"2014-02-19",1713891075
664446620004006000,4,"2014-02-20",9951340368
644594890005006000,5,"2014-02-21",3889793967
954396740001006000,1,"2014-02-22",7444730214
798455280002006000,2,"2014-02-23",6517694204
358992670003006000,3,"2014-02-24",5702366469
