"codTransaccion","codProducto","fechaPago","codReferencia"
98667276231571,233934532850,"2014-01-01",8373282336
54362521087750,92199513688,"2014-01-02",8707572337
88823958776891,884175456593,"2014-01-03",8491395343
84315908094867,550025382078,"2014-01-04",2139166956
11019056104123,467081780544,"2014-01-05",5775649347
12290773121639,643554404842,"2014-01-06",2104314681
14906768500804,149715932085,"2014-01-07",7841202494
98264278145506,225709289312,"2014-01-08",6869527519
22467096988111,533547013997,"2014-01-09",2691461397
20010307896882,574347396380,"2014-01-10",7124486015
69340546894817,442685464396,"2014-01-11",6830660611
84171791328116,518654163460,"2014-01-12",1713891075
62069676769896,486677549778,"2014-01-13",9951340368
57836225815116,913170426617,"2014-01-14",3889793967
25316192395984,986693545709,"2014-01-15",7444730214
52050996199249,798338288906,"2014-01-16",6517694204
99374086363240,941205192356,"2014-01-17",5702366469
65598225267603,354571487288,"2014-01-18",1981604350
